FECHA,CODIGO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,PARAMETRO(TIPO),VALOR,UNIDAD DE MEDIDA
01/09/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/11/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/12/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,6.9,mm
01/14/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/15/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/16/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/17/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/18/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/19/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/20/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/21/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,6.5,mm
01/22/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/24/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/25/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/26/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/27/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/28/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/29/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/30/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/01/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/02/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,17.2,mm
02/03/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,7.5,mm
02/05/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,1.8,mm
02/06/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/07/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/08/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/09/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/10/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/11/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/12/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/13/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/14/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/16/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/17/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/18/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
02/19/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0.2,mm
02/20/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0.3,mm
